Deal_title,Lead_name,Industry,Deal_value,Weighted_amount,Date_of_creation,Pitch,Contact_no,Lead_revenue,Fund_category,Geography,Location,POC_name,Designation,Lead_POC_email,Hiring_candidate_role,Lead_source,Level_of_meeting,Last_lead_update,Internal_POC,Resource,Internal_rating,Success_probability
TitleXGFD0,Hardin PLC Group,Other Investment Firms,281577$,1604988.9$,2020-12-21,Product_2,341-589-2546x2418,500 Million - 1 Billion,Category 3,India,Brahmapur,pooja,Chairman/Chief Innovation Officer,coryhiggins@hardin.com,Physiological scientist,Contact Email,Level 1,Following up but lead not responding,"Salyers,Daniel L",Not enough,2,55.8
TitleIY66P,"Meadows, Murphy and Rowland Inc",Information Services,346955$,2116425.5$,2020-06-13,Product_1,285.082.4348x533,500 Million - 1 Billion,Category 3,,Cuttack,priyanka,CEO/Co-Founder/Chairman,jessicalong@meadows.com,Associate Professor,Contact Email,Level 2,More than 2 weeks,"Jones,Eyvette W",Deliverable,4,60.7
TitleLWTFD,Stanley-Thomas Ltd,Banks,497575$,3035207.5$,2020-10-29,Product_1,639-060-1867,500 Million - 1 Billion,Category 3,India,Itanagar,anju kumari,CEO/Co-Founder/Chairman,amybrady@stanleythomas.com,"Surveyor, hydrographic",Marketing Event,Level 2,Pending,"Van Arter,Derrick",Deliverable,2,-5.0
TitleL224W,Graham Ltd Inc,Software,275190$,1499785.5$,2020-07-09,Product_1,166-966-1937,50 - 100 Million,Category 3,India,Kakinada,saroja w/o,CEO/Co-Founder/Chairman,angelabrooks@graham.com,Primary school teacher,Contact Email,Level 1,Following up but lead not responding,"Leu,Darren L",We have all the requirements,2,53.9
TitleEPOAC,"Moody, Johnson and Mays Group",Education/Training,57670$,351787.0$,2020-07-01,Product_2,8643076308,100 - 500 Million,Category 1,India,Ajmer,kavita,CEO/President,dianamoreno@moody.com,Armed forces logistics/support/administrative officer,Others,Level 2,?,"Vickers Jr.,Henry J",Deliverable,4,61.599999999999994
TitleVRNCR,"Bright, Anderson and Rivers PLC",Insurance,27569$,154386.4$,2019-12-11,Product_2,(893)137-2908x29327,50 - 100 Million,Category 3,India,Gwalior,nisha,Chairman/CEO/President,manuelsnyder@bright.com,Herpetologist,Website,Level 2,?,"Young,Valerie K",We have all the requirements,2,56.2
Title6JGB3,Mendoza LLC Inc,Other,8119$,47902.1$,2020-09-04,Product_1,(804)048-7495x4256,100 - 500 Million,Category 2,USA,"Riverside-San Bernardino-Ontario, CA",Chelsea Robinson,Vice President / GM (04-present) : VP Sales and Marketing (01-04),chelsearobinson@mendoza.com,"Nurse, mental health",Others,Level 2,5 days back,"Hebron,Artenia D",Cannot deliver,5,68.2
Title1QSW1,"Calhoun, Villegas and Kim Ltd",Software,389577$,2668602.45$,2020-02-23,Product_1,(613)771-9365x06385,500 Million - 1 Billion,Category 1,USA,"Bismarck, ND",Ronald Smith,Vice President / GM (04-present) : VP Sales and Marketing (01-04),ronaldsmith@calhoun.com,Building services engineer,Others,Level 3,Did not hear back after Level 1,"Gould,Lisa D",Deliverable,3,74.7
TitleE54GT,"Johnson, Knight and Farrell Ltd",Industrial Equip,205848$,1255672.8$,2019-01-08,Product_2,444-680-9029x9965,500 Million - 1 Billion,Category 3,India,Hubli,km sweta jain,Chief Executive Officer,katherinecox@johnson.com,Clinical research associate,Contact Email,Level 1,?,"Kiepea,Prince A",Cannot deliver,5,61.099999999999994
TitleRASST,"Turner, Carlson and Baker PLC",Insurance,85388$,520866.8$,2020-10-06,Product_2,7822590616,50 - 100 Million,Category 2,USA,"Columbus, GA-AL",Judy Miller,Executive Vice President,judymiller@turner.com,"Engineer, land",Website,Level 1,,"Young,Valerie K",We have all the requirements,5,26.35
TitleCBODP,"Chen, Patel and Moore Ltd",Networking/Comm.,175978$,1214248.2$,2019-12-14,Product_2,369.702.0205x70592,500 Million - 1 Billion,Category 1,USA,"Manhattan, KS",Tracy Frederick,SVP/General Counsel ,tracyfrederick@chen.com,"Teacher, music",Marketing Event,Level 2,,"Smith,Keenan H",Yes,3,74.0
TitleH4R66,Fuller-Fischer Ltd,Banks,75984$,444506.4$,2020-03-04,Product_2,168.330.3235,50 - 100 Million,Category 1,India,Allahabad,bharti,Executive Vice President,markgiles@fullerfischer.com,"Engineer, land",Others,Level 1,More than 2 weeks,"Massiah,Gerard F",We have all the requirements,3,61.400000000000006
Title1DHCN,Flores-Snyder PLC,Lending/Mortgage,,1711770.8$,2019-08-20,Product_2,845.386.2170,50 - 100 Million,Category 1,USA,"Pine Bluff, AR",Taylor Gomez,Executive Vice President,taylorgomez@floressnyder.com,"Librarian, academic",Contact Email,Level 3,5 days back,"Green,Candy",Cannot deliver,3,26.35
TitleTQRYB,Williams Ltd Inc,Insurance,452130$,2825812.5$,2020-01-23,Product_2,001-247-002-9259,50 - 100 Million,Category 1,India,Ratlam,soni,Chairman/CEO/President,annaschwartz@williams.com,"Engineer, civil (contracting)",Contact Email,Level 2,?,"Turner,Marlon D",No,4,61.8
TitleSV8J4,"Howell, Hall and Johnson Ltd",Hospitals/Clinics,94533$,595557.9$,2020-04-30,Product_1,(809)130-5196x983,500 Million - 1 Billion,Category 4,India,Nandyal,meenu,CEO/Chairman/President,deannalong@howell.com,Medical illustrator,Others,Level 1,Following up but lead not responding,"Brown,Maxine A",Not enough,5,8.0
TitleNLG3J,Fleming Ltd Group,Banks,71058$,405030.6$,2019-06-06,Product_2,001-397-929-5764x30435,50 - 100 Million,Category 3,India,Brajrajnagar,varsha,SVP/General Counsel ,marymanning@fleming.com,"Teacher, music",Website,Level 2,No track,"Ali,Mohamed",We have all the requirements,1,57.2
Title96ZHI,"Woods, Riggs and Lopez PLC",Banks,32677$,215668.2$,2020-01-19,Product_1,001-648-339-2965,100 - 500 Million,Category 4,,"Gainesville, FL",Diana Wolf,CEO/Chairman/President,dianawolf@woods.com,Haematologist,Marketing Event,Level 2,5 days back,"Gilley,Janine",We have all the requirements,3,66.1
TitleDZBNS,"Robinson, Williams and Lopez LLC",Real Estate,120960$,870912.0$,2019-08-18,Product_2,018.711.0097,500 Million - 1 Billion,Category 4,USA,"Owensboro, KY",Autumn Bass,Vice President / GM (04-present) : VP Sales and Marketing (01-04),autumnbass@robinson.com,"Pilot, airline",Website,Level 3,Pending,"Green,Candy",Not enough,4,73.5
TitleUFEJ0,Spencer-Steele PLC,Software,28176$,181735.2$,2019-07-08,Product_2,185-488-2696,500 Million - 1 Billion,Category 4,India,Hyderabad,tinki,CEO/Co-Founder/Chairman,brendadavila@spencersteele.com,Marketing executive,Contact Email,Level 3,More than 2 weeks,"Charles,Caleb",Not enough,1,56.7
TitleLRHKG,Porter-Moran LLC,Financial Services,54626$,330487.3$,2019-01-09,Product_1,4611323858,50 - 100 Million,Category 2,India,Dindigul,satyapal,CEO/President,lisagrant@portermoran.com,Investment analyst,Marketing Event,Level 2,2 days back,"Hebron,Artenia D",Not enough,5,63.7
TitleTNA94,Moody LLC Group,Investment Bank/Brokerage,238319$,1513325.65$,2020-02-27,Product_2,159.913.4872x0032,500 Million - 1 Billion,Category 2,USA,"Albany, GA",Fernando Daniel,SVP/General Counsel ,fernandodaniel@moody.com,Heritage manager,Others,Level 3,Did not hear back after Level 1,"Ali,Mohamed",No,3,73.2
Title3819T,Davis-Bentley Inc,Banks,118670$,735754.0$,2019-04-17,Product_2,755.643.7433,100 - 500 Million,Category 3,USA,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",Cindy Cervantes,Executive Vice President,cindycervantes@davisbentley.com,Occupational therapist,Others,Level 2,Did not hear back after Level 1,"Leu,Darren L",Cannot deliver,5,69.7
TitleAB4X3,Short-Trevino and Sons,Banks,214395$,1436446.5$,2019-04-25,Product_2,001-011-776-6130,100 - 500 Million,Category 3,India,Udaipur,meena,CEO/Chairman/President,lonniehoward@shorttrevino.com,Broadcast journalist,Website,Level 3,2 days back,"Salyers,Daniel L",Yes,5,67.7
TitleKW0WN,"Hart, Bean and Perez and Sons",Packaging/Containers,435782$,2985106.7$,2020-09-18,Product_2,001-323-702-6624x75984,500 Million - 1 Billion,Category 4,USA,"Athens-Clarke County, GA",Derrick Lawrence,CEO/Co-Founder/Chairman,derricklawrence@hart.com,"Investment banker, operational",Contact Email,Level 3,?,"Clavey,Therese A",Deliverable,1,66.7
TitleIZP7P,"Davis, Parker and Wright PLC",Real Estate,254315$,1640331.75$,2019-09-26,Product_1,465.039.6924,500 Million - 1 Billion,Category 3,India,DehraDun,kajal,CEO/President,nathanriley@davis.com,Rural practice surveyor,Contact Email,Level 3,Up-to-date,"Irizarry,Yolanda",Yes,4,63.400000000000006
TitleXVK0S,"Herrera, Michael and Brewer Ltd",Other Biz Services,430881$,2800726.5$,2020-12-13,Product_1,624.685.4562,500 Million - 1 Billion,Category 4,USA,"Gadsden, AL",Nicholas Kennedy,CEO/President,nicholaskennedy@herrera.com,"Therapist, art",Contact Email,Level 2,Did not hear back after Level 1,"Abdul-Hamid,Saud Muhamad",We have all the requirements,2,64.0
Title0XA5F,Baldwin-Gilbert and Sons,Software,238011$,1404264.9$,2020-03-10,Product_1,001-408-969-2802x928,50 - 100 Million,Category 2,India,Madurai,antima,Chairman/Chief Innovation Officer,jordanjones@baldwingilbert.com,"Programmer, systems",Others,Level 3,Did not hear back after Level 1,"Charles,Caleb",No,4,64.3
TitleO074A,"Dunn, Koch and Martinez LLC",Plastic/Rubber,227577$,1524765.9$,2019-05-23,Product_1,001-097-198-5474x9660,500 Million - 1 Billion,Category 1,USA,"Toledo, OH",Benjamin Miller,Vice President / GM (04-present) : VP Sales and Marketing (01-04),benjaminmiller@dunn.com,Technical author,Marketing Event,Level 1,?,"Knox,Antonio D",Deliverable,4,26.35
Title12WNF,Palmer Group Ltd,Construction Services,107509$,634303.1$,2020-07-22,Product_2,+1-129-609-8779x84136,500 Million - 1 Billion,Category 3,,"Sebastian-Vero Beach, FL",Jennifer Carter,CEO/Co-Founder/Chairman,jennifercarter@palmer.com,Oceanographer,Others,Level 2,Up-to-date,"Charles,Caleb",Not enough,2,65.8
TitleRC6BL,"Haley, Brown and Schmitt PLC",Banks,326574$,1910457.9$,2021-02-07,Product_1,001-565-684-8592x159,50 - 100 Million,Category 1,India,Kochi,sangeeta,Chairman/CEO/President,joycebeltran@haley.com,Health and safety inspector,Others,Level 1,more than a month,"Hebron,Artenia D",We have all the requirements,3,61.400000000000006
TitleYCAIE,"Simpson, Edwards and Rangel LLC",Non-Profit,384078$,2592526.5$,2020-02-16,Product_2,(732)090-6486,100 - 500 Million,Category 1,USA,"Manhattan, KS",Karen Miller,Vice President / GM (04-present) : VP Sales and Marketing (01-04),karenmiller@simpson.com,"Psychologist, occupational",Others,Level 3,Did not hear back after Level 1,"Smith,Keenan H",Cannot deliver,4,73.3
TitleLRG3J,"Delacruz, Schultz and Garcia Group",Information Services,38350$,197502.5$,2019-11-30,Product_2,(173)138-4010,50 - 100 Million,Category 2,India,Shimla,minakshi,CEO/Co-Founder/Chairman,daniellehoffman@delacruz.com,Diagnostic radiographer,Contact Email,Level 1,more than a month,"Young,Valerie K",No,1,26.35
TitleXULX3,Rasmussen-Lewis Group,Constr - Supplies,376798$,2336147.6$,2020-12-02,Product_2,+1-897-088-8898x647,100 - 500 Million,Category 3,,Moradabad,radha,Chief Executive Officer,andrewpadilla@rasmussenlewis.com,"Programmer, applications",Contact Email,Level 2,,"Murray,Younetta",Deliverable,5,61.400000000000006
TitleJWNZ8,Hall and Sons Group,Department/Discount,251275$,1419703.75$,2020-10-02,Product_1,+1-665-843-6829,100 - 500 Million,Category 2,India,Saharanpur,keshav bhardwaj,Chairman/CEO/President,jasonhuber@hall.com,"Surveyor, minerals",Website,Level 1,Did not hear back after Level 1,"Hebron,Artenia D",We have all the requirements,1,59.5
TitleHHMWZ,"Miller, Sanchez and May LLC",Wood/Paper,250644$,1528928.4$,2019-07-17,Product_1,062.836.6898,500 Million - 1 Billion,Category 3,,Coimbatore,shetal,CEO,kennethsmith@miller.com,Dispensing optician,Marketing Event,Level 2,Following up but lead not responding,"Hameier,Kurt E",No,2,60.8
TitleM5KKM,Barrett Inc Group,Outsourcing,385033$,2637476.05$,2020-04-11,Product_2,+1-054-721-5405x09585,50 - 100 Million,Category 1,USA,"Ocala, FL",Marc Nelson,CEO/President,marcnelson@barrett.com,Manufacturing engineer,Marketing Event,Level 2,?,"Himes,Maurice C",We have all the requirements,5,74.2
Title03OP2,Miller-Wilson Ltd,Construction Services,282751$,1795468.85$,2020-04-06,Product_1,+1-877-932-5387x48138,100 - 500 Million,Category 1,,Madurai,antim,SVP/General Counsel ,mr.adam@millerwilson.com,Fish farm manager,Website,Level 2,Did not hear back after Level 1,"Hameier,Kurt E",No,1,62.7
TitleTH0YE,Cox Inc PLC,Aerospace/Defense,93344$,569398.4$,2020-02-21,Product_1,0035073127,50 - 100 Million,Category 2,India,Patiala,pinki,Executive Vice President,jenniferhamilton@cox.com,Print production planner,Contact Email,Level 3,Following up but lead not responding,"Leu,Darren L",Not enough,3,63.0
TitleAABLG,Soto LLC and Sons,Banks,369466$,2087482.9$,2021-01-27,Product_1,+1-500-418-1444,50 - 100 Million,Category 3,USA,"Kingsport-Bristol-Bristol, TN-VA",Paul Gray,Chairman/Chief Innovation Officer,paulgray@soto.com,Hospital pharmacist,Others,Level 1,More than 2 weeks,"Sutton,Michelle R",Yes,3,65.4
TitleFHWKG,Fry-Sullivan Group,Banks,39088$,218892.8$,2019-02-27,Product_2,(121)692-5221,500 Million - 1 Billion,Category 2,India,Gopalpur,radha,CEO/Chairman/President,kaylaortiz@frysullivan.com,Emergency planning/management officer,Contact Email,Level 1,2 days back,"Davis,Brian R",We have all the requirements,4,107.34
TitleB13MW,Gomez-Warren Group,Healthcare Facilities/Services,25960$,153164.0$,2021-01-14,Product_1,773.725.6554x59841,100 - 500 Million,Category 2,USA,"Indianapolis-Carmel-Anderson, IN",Stanley Wagner,CEO/Chairman/President,stanleywagner@gomezwarren.com,Commercial art gallery manager,Marketing Event,Level 1,?,"Moran,Natalie A",Cannot deliver,4,107.34
TitleVNH0N,Lane-Atkins Inc,Banks,173403$,1040418.0$,2021-02-01,Product_2,(692)632-9314,500 Million - 1 Billion,Category 2,India,Surat,foola devi,Chairman/Chief Innovation Officer,richardschroeder@laneatkins.com,Tax inspector,Contact Email,Level 1,,"Featherstone,Adrian R",Yes,5,62.599999999999994
Title69UJ4,"Schneider, Saunders and Mathews and Sons",Publishing,95120$,689620.0$,2019-03-24,Product_2,5628891677,500 Million - 1 Billion,Category 4,USA,"Mansfield, OH",Meredith Hoover,Chief Executive Officer,meredithhoover@schneider.com,Forensic scientist,Contact Email,Level 3,More than 2 weeks,"Young,Valerie K",Not enough,5,72.0
TitleFSKOY,"Wells, Richards and Roberts and Sons",Financial Services,111700$,664615.0$,2019-02-01,Product_2,+1-239-254-4587,50 - 100 Million,Category 2,,"Morgantown, WV",Amanda Jackson,Vice President / GM (04-present) : VP Sales and Marketing (01-04),amandajackson@wells.com,Geophysicist/field seismologist,Marketing Event,Level 1,No track,"Green,Candy",Yes,4,68.9
TitlePOV52,Long-Greene Ltd,Banks,362317$,2427523.9$,2019-12-01,Product_1,001-477-956-2618,100 - 500 Million,Category 4,India,Nanded,seema,CEO,justinwood@longgreene.com,Advertising account executive,Website,Level 3,,"Leu,Darren L",We have all the requirements,1,61.900000000000006
TitleXLAO0,"Larsen, Smith and Brown Ltd",Banks,186073$,1237385.45$,2019-03-18,Product_2,851-763-3697x574,500 Million - 1 Billion,Category 3,,"Bellingham, WA",Tracy Nelson,Executive Vice President,tracynelson@larsen.com,Psychiatric nurse,Website,Level 2,,"Irizarry,Yolanda",We have all the requirements,5,73.4
TitleEGRHD,Trujillo-Schmidt LLC,Other Biz Services,203030$,1299392.0$,2020-09-21,Product_1,001-878-663-4931x95228,100 - 500 Million,Category 4,India,Bhuj,swati,CEO/President,jesusjohnson@trujilloschmidt.com,Speech and language therapist,Marketing Event,Level 2,Pending,"Robinson,John C",No,1,58.900000000000006
TitleQ49SG,Hodge LLC Inc,Plastic/Rubber,152516$,968476.6$,2020-10-11,Product_1,127-022-6529,500 Million - 1 Billion,Category 2,USA,"Trenton, NJ",Jordan Lang,Chairman/Chief Innovation Officer,jordanlang@hodge.com,Academic librarian,Website,Level 2,Pending,"Davis,Sharrice A",We have all the requirements,4,72.8
TitleWA9UQ,Santiago-Martinez Group,Banks,266535$,1745804.25$,2019-08-17,Product_1,001-489-050-9675x207,50 - 100 Million,Category 4,India,Panipat,rubina,Vice President / GM (04-present) : VP Sales and Marketing (01-04),lindahernandez@santiagomartinez.com,Estate agent,Website,Level 3,More than a week back,"Thomas,Lori E",Deliverable,1,61.400000000000006
TitleLG4I3,"Banks, Lindsey and Reeves PLC",Banks,102495$,707215.5$,2020-11-30,Product_2,(631)531-8419,500 Million - 1 Billion,Category 2,USA,"Jackson, MS",David Jenkins PhD,Chairman/Chief Innovation Officer,davidjenkins@banks.com,Industrial buyer,Website,Level 3,Pending,"Mabrey,Kevin C",Not enough,5,107.34
TitleQMMPV,Harris-Russell PLC,Banks,399446$,2276842.2$,2019-10-28,Product_2,184.901.9197,100 - 500 Million,Category 2,India,Patiala,priynka katara,SVP/General Counsel ,christinawhite@harrisrussell.com,Water engineer,Others,Level 2,Pending,"Heidelberg,Andre D",Not enough,4,107.34
Title3SY9H,Martinez PLC Inc,Entertainment/Media,83049$,506598.9$,2020-01-17,Product_2,597-257-3980,100 - 500 Million,Category 2,India,Vizianagaram,smt mithlesh,Executive Vice President,lesliewagner@martinez.com,Contracting civil engineer,Contact Email,Level 2,,"Knox,Antonio D",Cannot deliver,5,62.900000000000006
TitleKSL9C,Johnson Group and Sons,Packaging/Containers,10795$,65849.5$,2020-04-01,Product_2,435.461.2988x051,500 Million - 1 Billion,Category 1,India,Ranchi,सोनिया,Chief Executive Officer,stephenolson@johnson.com,"Teacher, English as a foreign language",Others,Level 2,2 days back,"Green,Candy",Cannot deliver,4,62.0
TitleFVTTJ,Decker-Reynolds and Sons,Telecom Consulting,352654$,2098291.3$,2020-12-10,Product_2,972-486-2156,50 - 100 Million,Category 2,USA,"Austin-Round Rock, TX",Daniel Weber,CEO,danielweber@deckerreynolds.com,"Lecturer, further education",Marketing Event,Level 2,Pending,"Hebron,Artenia D",We have all the requirements,1,67.4
Title4VWT7,Hogan-Hernandez PLC,Real Estate,302209$,1919027.15$,2019-07-06,Product_2,+1-071-121-9110,500 Million - 1 Billion,Category 2,,Saharanpur,sonali,Chairman/Chief Innovation Officer,robertgordon@hoganhernandez.com,"Surveyor, planning and development",Contact Email,Level 3,More than a week back,"Cash,Tyrone J",We have all the requirements,4,107.34
TitleM7NTE,"Dunlap, Cline and Robinson and Sons",Banks,267699$,1619578.95$,2019-09-28,Product_2,(759)802-2394,100 - 500 Million,Category 2,USA,"Charlotte-Concord-Gastonia, NC-SC",Courtney Weiss,CEO/Chairman/President,courtneyweiss@dunlap.com,"Producer, television/film/video",Website,Level 2,more than a month,"Massiah,Gerard F",Yes,2,68.2
TitleO86P0,Brooks Inc Group,Healthcare Facilities/Services,108019$,685920.65$,2020-04-04,Product_1,+1-343-133-2416x89707,50 - 100 Million,Category 3,India,New Delhi,deepika burt,CEO/President,stephaniephillips@brooks.com,Location manager,Website,Level 3,Following up but lead not responding,"Mabrey,Kevin C",Not enough,3,65.1
Title5QO84,Payne Inc Group,Banks,342854$,2194265.6$,2019-12-11,Product_1,+1-290-175-5513x246,100 - 500 Million,Category 3,India,Baramula,kajal,CEO/Chairman/President,kennethlarsen@payne.com,"Engineer, communications",Marketing Event,Level 2,Did not hear back after Level 1,"Green,Ann E",Deliverable,5,64.7
TitleOPF65,Krause LLC Inc,Investment Bank/Brokerage,24208$,137985.6$,2019-09-24,Product_1,475-074-7542x995,500 Million - 1 Billion,Category 1,India,Haldia,kumari shalu,CEO/Co-Founder/Chairman,michaelholmes@krause.com,Clinical psychologist,Others,Level 1,5 days back,"Irizarry,Yolanda",No,1,57.099999999999994
TitleDTDSF,"Meza, Foley and Travis and Sons",Trucking,406863$,2644609.5$,2019-08-03,Product_2,+1-602-009-2395x273,500 Million - 1 Billion,Category 1,India,Kollam,kumari ritu,CEO,heidibaker@meza.com,Information systems manager,Others,Level 2,Following up but lead not responding,"Dimattia,Frank D",No,5,67.1
Title9H4XP,"Andrews, Grant and Phillips LLC",Banks,461767$,2562806.85$,2019-06-12,Product_2,4566135176,50 - 100 Million,Category 2,USA,"Morgantown, WV",Todd Martin,CEO/President,toddmartin@andrews.com,Senior tax professional/tax inspector,Contact Email,Level 1,Up-to-date,"Houston,Arnold E",Not enough,1,62.400000000000006
TitleI4MZF,"White, Potter and Walters LLC",Photography,14603$,89078.3$,2019-11-19,Product_1,449.086.3189x9565,500 Million - 1 Billion,Category 1,USA,"Wilmington, NC",Rachel Bishop,CEO/President,rachelbishop@white.com,"Conservation officer, nature",Others,Level 2,Up-to-date,"Bannister,Joan",Not enough,2,65.8
Title49N0C,Heath-Lane PLC,Financial Services,,,2019-12-07,Product_1,+1-483-658-9452,500 Million - 1 Billion,Category 4,India,Kalyan,mohni,CEO/President,rhondalang@heathlane.com,Chartered accountant,Website,Level 2,Did not hear back after Level 1,"Featherstone,Adrian R",Not enough,1,107.34
Title5KPV1,Graham Ltd Ltd,Healthcare Facilities/Services,301183$,1927571.2$,2020-10-24,Product_1,+1-102-971-2090x02615,50 - 100 Million,Category 3,,"Lawton, OK",Patrick Riggs,CEO/President,patrickriggs@graham.com,Control and instrumentation engineer,Marketing Event,Level 3,Up-to-date,"Davis,Sharrice A",Yes,2,68.6
TitleOLD6I,Obrien Inc PLC,Hospitals/Clinics,435330$,,2019-04-09,Product_1,554.411.9072x5171,500 Million - 1 Billion,Category 3,India,Faridabad,sunita,Chairman/CEO/President,richardrobinson@obrien.com,Applications developer,Website,Level 1,Pending,"Carter Sr,Clifton E",No,1,59.400000000000006
TitleO55SS,Grant-Mcintyre and Sons,Banks,447225$,3175297.5$,2020-08-26,Product_2,910.466.3744,100 - 500 Million,Category 4,India,Kavaratti,sangita,Chief Executive Officer,andrewkennedy@grantmcintyre.com,Mental health nurse,Website,Level 3,?,"Young,Valerie K",No,5,67.2
TitleDSSO1,Whitaker-Keller Ltd,Restaurants,199524$,1097382.0$,2019-06-10,Product_1,545.893.0835x5805,100 - 500 Million,Category 2,USA,"Fort Smith, AR-OK",Joanne Peters,Executive Vice President,joannepeters@whitakerkeller.com,"Designer, multimedia",Others,Level 1,No track,"Georgakopoulos,Vasilios T",No,1,64.2
TitleLFYIV,"Ross, Morris and Taylor Group",Materials/Manufacturing,422236$,2638975.0$,2019-11-28,Product_2,(839)493-2596x8417,50 - 100 Million,Category 1,India,Salem,sakila damor,CEO/President,brookemartin@ross.com,Medical sales representative,Marketing Event,Level 1,More than a week back,"Dyson,William A",We have all the requirements,4,63.400000000000006
TitleX0AB7,Smith Inc Inc,Multimedia Software,384776$,2674193.2$,2019-01-30,Product_2,001-488-283-2158x0202,50 - 100 Million,Category 4,,Patiala,farhanaaz,Executive Vice President,toddreyes@smith.com,"Surveyor, land/geomatics",Website,Level 3,more than a month,"Green,Ann E",We have all the requirements,5,66.7
Title3L1XK,Owens-Brooks LLC,Apparel Retail,371649$,2118399.3$,2020-05-01,Product_1,(191)713-3818x83245,100 - 500 Million,Category 2,India,Karur,mamta pal,Executive Vice President,melissawright@owensbrooks.com,Advertising art director,Others,Level 1,More than 2 weeks,"Ross,Eric L",Deliverable,5,62.5
TitleTNO29,Martinez-Reeves Inc,Banks,361697$,2188266.85$,2019-05-11,Product_1,001-736-874-2214x21457,50 - 100 Million,Category 1,India,Dhanbad,rukshana khatun,Chairman/Chief Innovation Officer,daniellebrown@martinezreeves.com,"Geologist, engineering",Others,Level 2,Pending,"Ullrich,Rose Anne",Yes,4,63.099999999999994
Title0Z96J,Hayden and Sons and Sons,Associations,167372$,1079549.4$,2019-12-16,Product_1,(952)035-8994,50 - 100 Million,Category 1,India,Haldia,manisha rani,Chairman/CEO/President,ashleyhernandez@hayden.com,"Designer, fashion/clothing",Marketing Event,Level 2,,"Featherstone,Adrian R",Deliverable,4,26.35
TitleEGJME,Rogers Group and Sons,Banks,251717$,1573231.25$,2020-02-28,Product_1,+1-920-939-8452,50 - 100 Million,Category 4,,"Elizabethtown-Fort Knox, KY",Johnathan Jones,CEO/Chairman/President,johnathanjones@rogers.com,Network engineer,Contact Email,Level 2,more than a month,"Houston,Arnold E",Deliverable,1,62.099999999999994
Title5DSZZ,"Williams, Thomas and Livingston Group",Banks,333030$,1964877.0$,2020-07-01,Product_1,(464)912-4080,100 - 500 Million,Category 2,India,Bhatpara,mansi,CEO/Chairman/President,leemerritt@williams.com,Warden/ranger,Contact Email,Level 2,5 days back,"Ross,Eric L",No,3,60.8
TitleEZVPD,Hughes-Anderson LLC,Financial Services,395029$,2093653.7$,2020-09-27,Product_1,(276)537-3435x769,100 - 500 Million,Category 2,India,Akola,neha verma @ deepa,Chief Executive Officer,aprilpalmer@hughesanderson.com,Trading standards officer,Others,Level 1,5 days back,"Irizarry,Yolanda",We have all the requirements,2,57.2
TitleAUB8Z,Bender LLC and Sons,Banks,471229$,3086549.95$,2019-05-28,Product_1,808.905.1310x348,500 Million - 1 Billion,Category 2,USA,"Abilene, TX",Eric Gardner,Chairman/Chief Innovation Officer,ericgardner@bender.com,Cabin crew,Others,Level 3,No track,"Vickers Jr.,Henry J",We have all the requirements,5,26.35
TitlePAGNK,"Fisher, Dominguez and Long LLC",Banks,175010$,1155066.0$,2020-02-11,Product_1,9091470263,50 - 100 Million,Category 3,USA,"Wenatchee, WA",Yolanda Sanchez,CEO/Chairman/President,yolandasanchez@fisher.com,Air broker,Contact Email,Level 3,Up-to-date,"Hanyok,John J",Deliverable,5,70.6
TitleAMXD1,Obrien-Madden PLC,Semiconductors,72028$,406958.2$,2021-02-01,Product_2,058-405-6452x890,50 - 100 Million,Category 2,India,Saugor,neha,CEO,jamesescobar@obrienmadden.com,Secondary school teacher,Others,Level 2,More than 2 weeks,"Sutton,Michelle R",Deliverable,5,61.7
Title91JPB,Vega and Sons PLC,Multimedia Software,428765$,2786972.5$,2019-05-06,Product_2,001-875-461-7459x63999,500 Million - 1 Billion,Category 4,India,Puducherry,neelam,Vice President / GM (04-present) : VP Sales and Marketing (01-04),nicolebartlett@vega.com,"Psychotherapist, dance movement",Marketing Event,Level 2,More than a week back,"Mabrey,Kevin C",We have all the requirements,2,60.3
Title06CB1,Richard-Dixon Ltd,Hospitals/Clinics,338007$,2095643.4$,2020-02-29,Product_2,694.605.4669,100 - 500 Million,Category 3,India,Ghandinagar,foranti keer,CEO,gabriellegood@richarddixon.com,Archaeologist,Marketing Event,Level 2,No track,"Gilley,Janine",No,4,62.599999999999994
TitleAF2CW,Cardenas-Stephens Group,Banks,481184$,3272051.2$,2019-01-15,Product_1,001-253-905-4788,100 - 500 Million,Category 1,USA,"Davenport-Moline-Rock Island, IA-IL",Jason Vazquez,CEO/Chairman/President,jasonvazquez@cardenasstephens.com,"Psychotherapist, dance movement",Contact Email,Level 2,More than 2 weeks,"Abdul-Hamid,Saud Muhamad",Yes,5,71.4
TitleF01BH,Stewart-Price Group,Non-Profit,350519$,2103114.0$,2019-01-19,Product_1,+1-115-255-2517x978,50 - 100 Million,Category 3,USA,"Wenatchee, WA",Grace Taylor,Chairman/Chief Innovation Officer,gracetaylor@stewartprice.com,Publishing copy,Website,Level 1,2 days back,"Tondeur,Keith D",Not enough,3,107.34
